id,category,brand,name,description,price,unit,weight_kg,configs,features,in_stock,tier
h1,gpu,NVIDIA,GeForce RTX 4090,"Flagship 24GB GPU for 4K, AI, and rendering workloads.",1599.99,unit,1.8,"Founders Edition|0,ASUS ROG Strix|200,MSI Gaming X Trio|150","24GB GDDR6X, Ada Lovelace, 16384 CUDA cores",true,
h2,gpu,NVIDIA,GeForce RTX 4080 SUPER,High-end 16GB GPU for 4K gaming and creators.,999.99,unit,1.8,"Founders Edition|0,ASUS ROG Strix|150,MSI Gaming X Trio|120","16GB GDDR6X, 10240 CUDA cores, DLSS 3, AV1 encode",true,
h3,gpu,NVIDIA,GeForce RTX 4070 Ti SUPER,High-performance 16GB GPU for 1440p/4K.,799.99,unit,1.8,"Dual Fan|0,Triple Fan|50,ASUS ROG Strix|100","16GB GDDR6X, 8448 CUDA cores, DLSS 3",true,
h4,gpu,NVIDIA,GeForce RTX 4070 SUPER,Mid-high 12GB GPU for 1440p and light AI.,599.99,unit,1.8,"Dual Fan|0,Triple Fan|40,ASUS ROG Strix|80","12GB GDDR6X, 7168 CUDA cores, DLSS 3",true,
h5,gpu,NVIDIA,GeForce RTX 4060 Ti,Mainstream 8GB GPU for 1080p/1440p.,399.99,unit,1.8,"Single Fan|0,Dual Fan|20,MSI Ventus|15","8GB GDDR6, 4352 CUDA cores, 160W TDP",true,
h6,gpu,NVIDIA,GeForce RTX 4060,Entry-level 8GB RTX GPU for budget builds.,299.99,unit,1.8,"Single Fan|0,Dual Fan|20,MSI Ventus|15","8GB GDDR6, 3072 CUDA cores, 115W TDP",true,
h7,cpu,Intel,Intel Core i9-14900K,24-core flagship desktop processor for workstations.,589.99,unit,0.6,"Processor only|0,With Noctua NH-D15|110,With 360mm AIO|140","24 cores (8P+16E), 6.0GHz boost, 36MB L3 cache",true,
h8,cpu,Intel,Intel Core i7-14700K,20-core high-performance processor for creators.,409.99,unit,0.6,"Processor only|0,With Noctua NH-U12A|90,With 240mm AIO|100","20 cores (8P+12E), 5.6GHz boost, 33MB L3 cache",true,
h9,cpu,Intel,Intel Core i5-14600K,14-core mainstream processor for builds and gaming.,319.99,unit,0.6,"Processor only|0,With Noctua NH-U12A|90,With 240mm AIO|100","14 cores (6P+8E), 5.3GHz boost, 24MB L3 cache",true,
h10,cpu,AMD,AMD Ryzen 9 7950X,16-core Zen 4 flagship processor for productivity.,549.99,unit,0.6,"Processor only|0,With Noctua NH-D15|110,With 360mm AIO|140","16 cores / 32 threads, 5.7GHz, 80MB cache, 170W TDP",true,
h11,cpu,AMD,AMD Ryzen 7 7800X3D,8-core gaming CPU with 3D V-Cache technology.,449.99,unit,0.6,"Processor only|0,With Noctua NH-U12A|90,With 240mm AIO|100","8 cores / 16 threads, 5.0GHz, 104MB cache, 120W TDP",true,
h12,cpu,AMD,AMD Ryzen 5 7600X,6-core mainstream processor for builds.,249.99,unit,0.6,"Processor only|0,With Noctua NH-U12A|90,With 240mm AIO|100","6 cores / 12 threads, 5.3GHz, 32MB cache, 105W TDP",true,
h13,ram,Corsair,Corsair Vengeance 16GB DDR5 Kit,High-performance DDR5 memory for modern builds.,49.99,kit,0.15,"1 kit|0,2 kits|48,4 kits|150","DDR5-5600, CL36, Intel XMP 3.0, AMD EXPO",true,
h14,ram,Corsair,Corsair Vengeance 32GB DDR5 Kit,High-performance DDR5 memory for modern builds.,89.99,kit,0.15,"1 kit|0,2 kits|85,4 kits|270","DDR5-5600, CL36, Intel XMP 3.0, AMD EXPO",true,
